Fitness_Goals,Current_Fitness_Metrics,Activity_Level,Dietary_Preferences,Recommended_Plan
Endurance Improvement,34.8,Sedentary,Low-Carb,Mixed Plan
Weight Loss,29.1,Highly Active,Non-Vegetarian,Cardio Plan
Weight Loss,27.7,Highly Active,Vegetarian,Strength Plan
Endurance Improvement,29.8,Sedentary,Vegetarian,Cardio Plan
Muscle Gain,32.4,Sedentary,Non-Vegetarian,Strength Plan
Weight Loss,31.3,Sedentary,Vegetarian,Cardio Plan
Weight Loss,22.3,Sedentary,Vegetarian,Cardio Plan
Weight Loss,19.0,Moderately Active,Non-Vegetarian,Strength Plan
Endurance Improvement,23.7,Sedentary,Low-Carb,Strength Plan
Weight Loss,22.9,Highly Active,Vegetarian,Strength Plan
Endurance Improvement,22.0,Sedentary,Non-Vegetarian,Cardio Plan
Endurance Improvement,34.1,Moderately Active,Vegetarian,Cardio Plan
Endurance Improvement,33.0,Highly Active,Vegetarian,Cardio Plan
Weight Loss,23.7,Moderately Active,Low-Carb,Mixed Plan
Endurance Improvement,29.3,Sedentary,Vegan,Cardio Plan
Muscle Gain,25.0,Highly Active,Vegan,Strength Plan
Weight Loss,33.6,Sedentary,Non-Vegetarian,Strength Plan
Weight Loss,26.1,Highly Active,Vegan,Strength Plan
Weight Loss,22.9,Highly Active,Non-Vegetarian,Cardio Plan
Weight Loss,22.6,Highly Active,Vegan,Strength Plan
Weight Loss,27.8,Moderately Active,Low-Carb,Strength Plan
Endurance Improvement,22.8,Sedentary,Non-Vegetarian,Mixed Plan
Endurance Improvement,28.1,Moderately Active,Vegan,Mixed Plan
Weight Loss,33.3,Moderately Active,Low-Carb,Strength Plan
Endurance Improvement,25.1,Sedentary,Vegan,Mixed Plan
Weight Loss,22.1,Sedentary,Vegetarian,Mixed Plan
Endurance Improvement,35.0,Sedentary,Vegetarian,Strength Plan
Endurance Improvement,26.9,Highly Active,Low-Carb,Cardio Plan
Endurance Improvement,20.0,Moderately Active,Vegetarian,Cardio Plan
Endurance Improvement,19.3,Moderately Active,Vegetarian,Strength Plan
Muscle Gain,20.3,Moderately Active,Non-Vegetarian,Cardio Plan
Weight Loss,28.9,Moderately Active,Vegan,Mixed Plan
Muscle Gain,31.6,Moderately Active,Non-Vegetarian,Strength Plan
Endurance Improvement,25.5,Highly Active,Vegan,Cardio Plan
Muscle Gain,19.5,Sedentary,Vegetarian,Cardio Plan
Weight Loss,24.8,Highly Active,Non-Vegetarian,Mixed Plan
Weight Loss,34.9,Highly Active,Vegan,Strength Plan
Endurance Improvement,27.2,Highly Active,Vegan,Strength Plan
Muscle Gain,34.5,Sedentary,Non-Vegetarian,Mixed Plan
Muscle Gain,32.7,Sedentary,Low-Carb,Strength Plan
Muscle Gain,18.7,Moderately Active,Vegan,Strength Plan
Weight Loss,30.4,Highly Active,Vegetarian,Mixed Plan
Weight Loss,29.7,Moderately Active,Vegan,Mixed Plan
Muscle Gain,27.4,Sedentary,Vegetarian,Cardio Plan
Weight Loss,22.9,Sedentary,Non-Vegetarian,Strength Plan
Weight Loss,29.1,Sedentary,Vegan,Mixed Plan
Muscle Gain,20.3,Sedentary,Vegetarian,Cardio Plan
Weight Loss,25.7,Highly Active,Vegetarian,Strength Plan
Muscle Gain,26.0,Moderately Active,Non-Vegetarian,Cardio Plan
Muscle Gain,34.2,Sedentary,Vegan,Mixed Plan
Endurance Improvement,33.0,Moderately Active,Vegan,Strength Plan
Muscle Gain,22.8,Sedentary,Non-Vegetarian,Cardio Plan
Weight Loss,26.8,Moderately Active,Vegan,Mixed Plan
Endurance Improvement,21.4,Moderately Active,Non-Vegetarian,Mixed Plan
Muscle Gain,33.6,Sedentary,Vegan,Mixed Plan
Endurance Improvement,32.9,Sedentary,Low-Carb,Mixed Plan
Weight Loss,23.4,Moderately Active,Vegan,Mixed Plan
Muscle Gain,29.0,Highly Active,Vegetarian,Mixed Plan
Weight Loss,28.5,Sedentary,Vegetarian,Mixed Plan
Endurance Improvement,21.0,Sedentary,Low-Carb,Cardio Plan
Muscle Gain,31.1,Highly Active,Vegan,Strength Plan
Endurance Improvement,27.4,Highly Active,Vegetarian,Strength Plan
Endurance Improvement,31.3,Sedentary,Vegetarian,Cardio Plan
Muscle Gain,27.3,Sedentary,Vegan,Mixed Plan
Endurance Improvement,18.5,Sedentary,Non-Vegetarian,Strength Plan
Weight Loss,23.8,Sedentary,Vegan,Mixed Plan
Endurance Improvement,18.8,Moderately Active,Non-Vegetarian,Strength Plan
Weight Loss,33.8,Moderately Active,Low-Carb,Mixed Plan
Weight Loss,33.0,Moderately Active,Low-Carb,Cardio Plan
Endurance Improvement,32.2,Sedentary,Vegetarian,Mixed Plan
Weight Loss,23.6,Moderately Active,Vegetarian,Strength Plan
Muscle Gain,19.5,Sedentary,Vegetarian,Mixed Plan
Weight Loss,33.0,Sedentary,Non-Vegetarian,Strength Plan
Weight Loss,34.1,Moderately Active,Vegetarian,Mixed Plan
Weight Loss,19.9,Sedentary,Vegan,Strength Plan
Muscle Gain,26.5,Moderately Active,Non-Vegetarian,Strength Plan
Muscle Gain,19.6,Moderately Active,Low-Carb,Strength Plan
Muscle Gain,31.0,Moderately Active,Non-Vegetarian,Mixed Plan
Endurance Improvement,31.1,Moderately Active,Vegetarian,Strength Plan
Muscle Gain,20.6,Moderately Active,Vegan,Mixed Plan
Weight Loss,26.3,Highly Active,Vegan,Cardio Plan
Muscle Gain,27.6,Highly Active,Vegetarian,Cardio Plan
Muscle Gain,22.9,Highly Active,Vegan,Strength Plan
Weight Loss,32.9,Highly Active,Non-Vegetarian,Mixed Plan
Endurance Improvement,25.5,Highly Active,Non-Vegetarian,Strength Plan
Muscle Gain,22.0,Moderately Active,Vegetarian,Mixed Plan
Endurance Improvement,27.4,Sedentary,Vegan,Mixed Plan
Endurance Improvement,30.5,Sedentary,Low-Carb,Cardio Plan
Endurance Improvement,21.8,Moderately Active,Non-Vegetarian,Mixed Plan
Weight Loss,23.6,Sedentary,Non-Vegetarian,Mixed Plan
Endurance Improvement,34.9,Sedentary,Non-Vegetarian,Strength Plan
Endurance Improvement,29.2,Highly Active,Non-Vegetarian,Strength Plan
Weight Loss,25.7,Highly Active,Low-Carb,Mixed Plan
Endurance Improvement,27.0,Highly Active,Vegetarian,Cardio Plan
Endurance Improvement,20.5,Sedentary,Non-Vegetarian,Strength Plan
Weight Loss,22.2,Highly Active,Vegan,Strength Plan
Weight Loss,24.1,Moderately Active,Low-Carb,Cardio Plan
Muscle Gain,28.2,Sedentary,Non-Vegetarian,Strength Plan
Muscle Gain,22.3,Sedentary,Vegan,Mixed Plan
Muscle Gain,22.1,Highly Active,Non-Vegetarian,Mixed Plan
